OrderID,Date,ProductID,StoreID,ChannelID,UnitsSold,GrossRevenue,DiscountAmount,NetRevenue,TotalCost
ORD100000,2024-11-20,P1050,S120,C2,6,94.5,18.9,75.6,73.44
ORD100001,2024-11-05,P1098,S114,C1,1,30.97,4.65,26.32,24.62
ORD100002,2024-08-04,P1155,S109,C2,3,255.39,0.0,255.39,145.62
ORD100003,2023-08-08,P1160,S111,C2,2,380.74,0.0,380.74,214.4
ORD100004,2024-02-03,P1076,S125,C1,2,789.88,0.0,789.88,431.12
ORD100005,2023-10-11,P1108,S126,C2,7,133.56,6.68,126.88,98.63
ORD100006,2024-02-02,P1014,S125,C2,2,1013.08,0.0,1013.08,661.76
ORD100007,2024-12-06,P1152,S128,C1,5,641.5,32.08,609.42,358.9
ORD100008,2024-10-19,P1003,S130,C2,1,1332.16,0.0,1332.16,758.66
ORD100009,2023-06-07,P1055,S114,C1,3,1764.33,352.87,1411.46,1132.29
ORD100010,2024-12-11,P1117,S104,C2,3,60.27,0.0,60.27,36.3
ORD100011,2023-11-17,P1156,S125,C2,8,2223.2,222.32,2000.88,1221.04
ORD100012,2024-05-30,P1028,S119,C1,2,223.26,0.0,223.26,169.02
ORD100013,2024-07-12,P1106,S111,C2,2,31.96,3.2,28.76,22.18
ORD100014,2023-12-20,P1031,S130,C2,6,162.78,32.56,130.22,119.94
ORD100015,2023-11-30,P1009,S111,C1,5,3138.85,0.0,3138.85,2190.55
ORD100016,2023-11-30,P1068,S128,C2,3,1356.87,67.84,1289.03,1029.3
ORD100017,2024-09-22,P1093,S117,C1,3,10.95,0.0,10.95,8.07
ORD100018,2023-10-10,P1043,S102,C2,4,89.12,0.0,89.12,60.76
ORD100019,2023-07-24,P1156,S126,C2,3,833.7,125.06,708.64,457.89
ORD100020,2023-09-22,P1099,S123,C3,5,103.9,0.0,103.9,55.45
ORD100021,2023-05-23,P1071,S119,C2,4,2665.2,0.0,2665.2,1544.08
ORD100022,2023-10-14,P1078,S118,C1,2,62.34,9.35,52.99,41.14
ORD100023,2023-03-25,P1075,S107,C2,4,1957.12,0.0,1957.12,1395.48
ORD100024,2023-03-07,P1018,S107,C2,2,1632.5,326.5,1306.0,1013.9
ORD100025,2024-06-13,P1098,S101,C2,2,61.94,0.0,61.94,49.24
ORD100026,2023-02-26,P1126,S105,C2,2,86.18,8.62,77.56,46.76
ORD100027,2024-02-20,P1068,S111,C1,2,904.58,45.23,859.35,686.2
ORD100028,2024-07-24,P1069,S115,C1,2,458.6,68.79,389.81,297.54
ORD100029,2024-06-13,P1146,S105,C3,4,249.08,0.0,249.08,150.72
ORD100030,2023-11-23,P1098,S116,C1,1,30.97,3.1,27.87,24.62
ORD100031,2023-05-22,P1048,S108,C1,2,104.64,0.0,104.64,62.56
ORD100032,2024-11-11,P1001,S108,C1,2,1549.2,77.46,1471.74,879.76
ORD100033,2024-09-02,P1132,S130,C1,5,393.35,19.67,373.68,299.85
ORD100034,2024-03-23,P1101,S130,C2,1,27.39,1.37,26.02,15.11
ORD100035,2023-03-05,P1101,S125,C3,6,164.34,24.65,139.69,90.66
ORD100036,2023-01-26,P1046,S103,C2,2,60.08,6.01,54.07,35.44
ORD100037,2023-08-19,P1030,S122,C2,3,422.76,63.41,359.35,237.39
ORD100038,2023-04-26,P1080,S106,C2,4,75.72,3.79,71.93,49.72
ORD100039,2024-09-20,P1122,S116,C2,1,40.31,0.0,40.31,22.96
ORD100040,2023-05-31,P1048,S127,C2,2,104.64,0.0,104.64,62.56
ORD100041,2023-07-26,P1085,S111,C2,2,24.28,0.0,24.28,15.32
ORD100042,2024-12-14,P1160,S129,C1,3,571.11,28.56,542.55,321.6
ORD100043,2024-08-21,P1036,S121,C2,4,285.6,0.0,285.6,200.68
ORD100044,2023-06-09,P1037,S109,C1,3,189.42,9.47,179.95,126.54
ORD100045,2023-10-08,P1038,S104,C1,2,278.38,41.76,236.62,166.28
ORD100046,2024-01-13,P1147,S125,C1,4,124.52,6.23,118.29,82.4
ORD100047,2024-04-30,P1085,S113,C3,3,36.42,3.64,32.78,22.98
ORD100048,2024-11-15,P1147,S103,C1,3,93.39,0.0,93.39,61.8
ORD100049,2024-09-28,P1152,S104,C1,3,384.9,0.0,384.9,215.34
ORD100050,2024-12-15,P1068,S130,C2,2,904.58,90.46,814.12,686.2
ORD100051,2023-01-30,P1009,S108,C2,1,627.77,62.78,564.99,438.11
ORD100052,2023-06-22,P1049,S130,C2,3,57.36,5.74,51.62,31.14
ORD100053,2024-02-16,P1088,S120,C2,4,63.8,3.19,60.61,37.68
ORD100054,2023-02-05,P1061,S109,C3,7,241.71,0.0,241.71,179.06
ORD100055,2023-09-17,P1001,S111,C2,8,6196.8,929.52,5267.28,3519.04
ORD100056,2023-04-23,P1159,S123,C2,2,60.84,0.0,60.84,39.24
ORD100057,2024-11-12,P1049,S113,C2,1,19.12,0.0,19.12,10.38
ORD100058,2023-02-16,P1100,S103,C3,6,114.96,11.5,103.46,76.86
ORD100059,2023-04-19,P1152,S108,C3,6,769.8,0.0,769.8,430.68
ORD100060,2023-05-23,P1088,S126,C1,3,47.85,7.18,40.67,28.26
ORD100061,2023-04-19,P1112,S121,C1,5,261.55,0.0,261.55,170.7
ORD100062,2024-02-20,P1006,S114,C1,5,5260.7,526.07,4734.63,3812.25
ORD100063,2023-09-24,P1112,S108,C2,2,104.62,0.0,104.62,68.28
ORD100064,2024-10-29,P1136,S114,C1,2,664.28,66.43,597.85,415.1
ORD100065,2023-07-10,P1147,S124,C1,5,155.65,0.0,155.65,103.0
ORD100066,2024-01-28,P1014,S103,C1,4,2026.16,303.92,1722.24,1323.52
ORD100067,2024-04-27,P1037,S130,C2,3,189.42,0.0,189.42,126.54
ORD100068,2024-04-02,P1008,S125,C2,2,1350.0,0.0,1350.0,932.6
ORD100069,2024-08-05,P1147,S110,C3,5,155.65,15.57,140.08,103.0
ORD100070,2023-05-28,P1044,S126,C1,1,56.1,0.0,56.1,30.18
ORD100071,2024-01-06,P1086,S120,C1,6,29.46,2.95,26.51,20.34
ORD100072,2024-08-08,P1077,S120,C1,2,983.68,147.55,836.13,688.54
ORD100073,2024-09-22,P1111,S105,C1,3,144.57,14.46,130.11,102.6
ORD100074,2024-03-27,P1144,S128,C2,3,242.04,48.41,193.63,184.14
ORD100075,2024-04-21,P1052,S113,C2,3,399.42,0.0,399.42,233.37
ORD100076,2024-09-23,P1127,S125,C1,3,217.83,10.89,206.94,140.82
ORD100077,2024-04-01,P1047,S109,C1,3,169.92,33.98,135.94,96.66
ORD100078,2024-11-24,P1032,S110,C2,2,57.1,2.86,54.24,34.94
ORD100079,2023-04-04,P1018,S130,C2,1,816.25,122.44,693.81,506.95
ORD100080,2023-09-12,P1060,S114,C2,1,69.52,0.0,69.52,47.38
ORD100081,2023-03-24,P1090,S103,C3,5,132.85,0.0,132.85,81.3
ORD100082,2023-03-08,P1125,S125,C2,1,81.75,16.35,65.4,53.13
ORD100083,2023-12-11,P1136,S107,C2,5,1660.7,332.14,1328.56,1037.75
ORD100084,2023-06-15,P1085,S126,C1,3,36.42,0.0,36.42,22.98
ORD100085,2023-10-25,P1066,S128,C1,2,379.58,75.92,303.66,225.18
ORD100086,2023-11-17,P1028,S103,C2,2,223.26,11.16,212.1,169.02
ORD100087,2024-03-29,P1147,S117,C2,2,62.26,3.11,59.15,41.2
ORD100088,2024-11-22,P1064,S130,C1,2,256.98,51.4,205.58,147.62
ORD100089,2024-09-12,P1123,S129,C2,1,21.32,0.0,21.32,12.63
ORD100090,2023-10-04,P1101,S114,C3,10,273.9,0.0,273.9,151.1
ORD100091,2023-08-27,P1150,S120,C1,1,152.2,0.0,152.2,103.96
ORD100092,2024-07-17,P1156,S118,C2,2,555.8,0.0,555.8,305.26
ORD100093,2023-04-01,P1114,S106,C1,3,146.37,0.0,146.37,91.74
ORD100094,2024-01-31,P1106,S119,C3,5,79.9,4.0,75.9,55.45
ORD100095,2023-11-06,P1022,S111,C2,3,3197.04,319.7,2877.34,2437.89
ORD100096,2023-05-14,P1003,S111,C2,7,9325.12,0.0,9325.12,5310.62
ORD100097,2024-03-26,P1088,S113,C2,4,63.8,12.76,51.04,37.68
ORD100098,2023-08-23,P1113,S125,C2,3,58.17,0.0,58.17,42.0
ORD100099,2023-05-16,P1120,S108,C3,4,152.12,15.21,136.91,100.6
ORD100100,2024-04-22,P1041,S108,C3,5,604.1,0.0,604.1,366.0
ORD100101,2023-05-08,P1081,S101,C1,1,41.66,4.17,37.49,22.63
ORD100102,2024-05-06,P1138,S105,C1,9,642.15,32.11,610.04,470.79
ORD100103,2023-04-29,P1016,S130,C2,3,1235.58,0.0,1235.58,659.67
ORD100104,2023-11-14,P1062,S113,C3,6,4082.76,0.0,4082.76,2389.68
ORD100105,2024-08-13,P1152,S106,C2,5,641.5,0.0,641.5,358.9
ORD100106,2023-06-17,P1032,S130,C2,3,85.65,0.0,85.65,52.41
ORD100107,2024-07-15,P1051,S101,C2,3,284.79,42.72,242.07,213.93
ORD100108,2024-06-11,P1075,S114,C2,4,1957.12,97.86,1859.26,1395.48
ORD100109,2024-10-21,P1111,S125,C1,7,337.33,0.0,337.33,239.4
ORD100110,2023-05-04,P1041,S123,C2,2,241.64,12.08,229.56,146.4
ORD100111,2024-06-06,P1127,S106,C2,2,145.22,0.0,145.22,93.88
ORD100112,2024-11-15,P1038,S121,C3,5,695.95,0.0,695.95,415.7
ORD100113,2024-07-11,P1059,S118,C2,3,1894.68,189.47,1705.21,1070.49
ORD100114,2023-05-18,P1092,S120,C2,4,135.84,0.0,135.84,82.8
ORD100115,2024-08-23,P1002,S108,C3,6,3768.06,376.81,3391.25,2695.92
ORD100116,2023-03-20,P1123,S125,C2,4,85.28,12.79,72.49,50.52
ORD100117,2024-03-06,P1108,S116,C2,3,57.24,0.0,57.24,42.27
ORD100118,2023-12-30,P1134,S122,C3,7,2109.73,105.49,2004.24,1570.31
ORD100119,2024-01-24,P1044,S129,C1,5,280.5,0.0,280.5,150.9
ORD100120,2024-01-15,P1064,S125,C2,4,513.96,25.7,488.26,295.24
ORD100121,2023-01-24,P1144,S124,C2,6,484.08,0.0,484.08,368.28
ORD100122,2024-01-07,P1011,S109,C1,1,687.04,0.0,687.04,458.74
ORD100123,2024-11-15,P1079,S103,C2,5,123.4,0.0,123.4,78.45
ORD100124,2023-11-16,P1078,S116,C1,3,93.51,0.0,93.51,61.71
ORD100125,2023-07-22,P1072,S102,C3,3,1744.32,261.65,1482.67,1182.42
ORD100126,2024-12-28,P1070,S121,C1,1,448.07,67.21,380.86,287.15
ORD100127,2023-03-14,P1120,S122,C2,7,266.21,13.31,252.9,176.05
ORD100128,2023-12-22,P1032,S116,C2,2,57.1,0.0,57.1,34.94
ORD100129,2024-01-10,P1143,S105,C2,1,191.49,9.57,181.92,122.79
ORD100130,2023-12-16,P1144,S126,C1,4,322.72,0.0,322.72,245.52
